Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Sevginin Gücü,Erler Film,Ümit Efekan,1,Dram,Show TV,Hülya Avşar - Tarık Tarcan - Tolga Savacı - Maide Erçelebi - Bülent Bilgiç,1994
Geçmiş Bahar Mimozaları,TRT,Okan Uysaler,1,Dram - Psikolojik,TRT 1,Filiz Akın - Rutkay Aziz - Ceylan Palay - Müşfik Kenter - Güler Ökten - Nurseli İdiz - Musa Uzunlar,1989
Gençler,TRT,Adem Kılıç,1,Duygusal - Gençlik - Komedi,TRT 1,Ziya Kürküt - Fikret Kuşkan - Oktay Kaynarca - Bilge Parlak - Melike Altunbaran - Zeynep Özden Ayyıldız - Çetin Etili,1989
155 Polis İmdat,Emek Film,Şahin Gök,2,Polisiye - Aksiyon - Dram - Komedi,Show TV -    - Kanal D,Necla Nazır - Bülent Bilgiç - Murat Soydan - Yusuf Sezgin,1994
Taşların Sırrı,Star 1,Yusuf Kurçenli,1,Gizem kurgu - Fantezi - Macera,Star TV,Tarık Akan - Ayşegül Aldinç - Merih Akalın - Tuncer Necmioğlu - Bilge Zobu - Ali Çoban - Coşkun Göğen - Menderes Samancılar,1992
Kanun Savaşçıları,TRT,Emin Gerçeker,1,Aksiyon - Macera - Polisiye,TRT 1,Serdar Gökhan - Eşref Kolçak - Özlem Savaş - Yusuf Sezgin - Savaş Akova - Orsel Sonat - Sermin Karaali - Perin Karaali - Tanju Şarman,1989
Gül ve Diken,Kemal Film,Osman F. Seden,1,Romantik - Duygusal,Star TV,Aydan Şener - Murat Parasayar - Müge Arda - Tomris Oğuzalp - Ozan Bilen,1994
Boşgezen ve Kalfası,Ortaoyuncular,Ferhan Şensoy,1,Komedi,Flash TV,Ferhan Şensoy - Suna Pekuysal - Derya Baykal - Rasim Öztekin - Tarık Pabuçcuoğlu - Levent Ünsal - Settar Tanrıöğen - Şükran Dedeman - Pınar Alsan,1995
Mahallenin Muhtarları,Replik Yapım,Oğuz Yalçın - Filiz Kaynak - Avni Kütükoğlu - Nursan Esenboğa,10,Aile,Kanal 6 -   - atv -   - Kanal D -   - Star TV,Aydan Burhan - Erkan Can - Cihat Tamer - Işık Aras - Goncagül Sunar - Esra Akkaya - Nedret Özbek - Leman Çıdamlı - Filiz Taçbaş,1992
Saygılar Bizden,Bugay Yapım,Zeki Ökten,1,Dram - Komedi - Politika,InterSTAR,Kemal Sunal - Jülide Kural - Selma Tarcan - Yaman Tarcan - Nur Gürkan - Alev Oraloğlu - Tuncer Necmioğlu - Zafer Algöz - Yaman Okay - Güler Ökten - Ozan Bilen - Orhan Çağman - Kutay Köktürk - Erdinç Dinçer,1992
Gerçek Kesit,Flash TV,Erbay Gül,13,Gerilim - Aksiyon - Dram - Absürt komedi,Flash TV,Cahit Kaşıkçılar - Cevat Dinçer - Mehmet Vanlıoğlu,1993
Bizim Mahalle,TRT,Ülkü Erakalın - Tulip Karamanbey - Temel Gürsu - Tangör Toydemir - Ayhan Önal,8,Aile - Komedi - Macera,TRT 1,Neslihan Acar - Osman Yağmurdereli - Üstün Asutay - Neriman Köksal - Nilgün Belgün - Meltem Ören - İlhan Daner,1994
Eşref Saati,Pana Film,Ümit Volkan,2,Komedi,Kanal D,Tuluğ Çizgen - Cihat Tamer - Suna Yıldızoğlu - Suat Sungur - Arzu Atalay - Hadi Çaman,1993
