Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Bizim Kuruntu Ailesi,TGRT,Bülent Özdural,2,Sitcom,TGRT,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Doğan Aybay - Şemsay Çankara - Saltuk Kaplangı - Tomris Oğuzalp - Aliye Tölak - Tarık Ündüz - Engin Gürmen - Ferdi Atuner - Şensel Uykal - Reyhan Ayyüzlü,1997
Kaygısızlar,3 Nokta Film,Oğuz Yalçın - Ayhan Önal - Cankat Ergin - Samim Değer - Temel Gürsu - Uğur Erkır,4,Komedi,"Kanal D -  ,  - Star TV -   - Kanal 6",Ercan Yazgan - Halit Akçatepe - Ayşen Gruda - Gülçin Hatıhan - Çiçek Dilligil - Yılmaz Köksal - Sibel Seyhan - Şoray Uzun - Damla Özen - Yalçın Avşar - Ülkü Duru,1994
Sihirli Safiye,D Productions,Yavuz Figenli,1,Fantastik - Aile - Komedi,Kanal D,Seden Kızıltunç - Oğuz Oktay - Ayben Erman - Şerif Arslan - Fatoş Kara,1994
Türkmen Düğünü,TRT,Adem Ayral,1,Duygusal,TRT 1,Yılmaz Zafer - Ece Pirim - Nilgün Bubikoğlu - Zerrin Çaldıran - Asuman Arsan - Nevin Aypar - Atilla Ergün,1989
İtilmiş ve Kakılmış,Sinegraf Tükenmezkalem Film,Osman Sınav - Mustafa Şevki Doğan - Orhan Oğuz - Kartal Tibet - Adnan Güler,4,Aksiyon - Polisiye - Suç - Gerilim - İstihbarat - Komedi - Dram,Star TV -  - Show TV,İlyas İlbey - Yasemin Yalçın,1997
Çılgın Bediş,D Productions,Turgut Yasalar -  (1-5) - Yavuz Figenli -  (6-53) - Çetin İnanç -  (54-65) - Ömer Uğur -  (66-70),4,Gençlik - Komedi,Kanal D -   - Show TV,Yonca Evcimik - Cenk Torun - Çiçek Dilligil - Selahattin Taşdöğen,1996
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
Yerim Seni,Devekuşu, Zeki Alasya -  - Adem Ayral,1,Komedi,Star TV,Serdar Akar - Adem Ayral - Zeki Alasya,1997
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,Komedi,Star TV,Aydan Şener - Zehra Alptürk - Nuri Alço - Bülent Bilgiç - Murat Parasayar,1994
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  - Avni Kütükoğlu -  (44 bölüm),2,Dram,TRT 1,Dilaver Uyanık - Yılmaz Erdoğan - Ferdi Akarnur - Necati Bilgiç - Tayfun Çorağan - Nüvit Özdoğru - Ayla Algan,1992
Şehnaz Tango,Ar Ajans,Taner Akvardar - Semih Kaplanoğlu - Sadullah Celen - Nursan Esenboğa - Hüdaverdi Yavuz,4,Romantik komedi - Dram - Aşk,Show TV -   - Star TV,Perran Kutman - Erdal Özyağcılar,1994
Bay Kamber,Doku Film,Ünal Küpeli,1,Komedi - Macera - Aile,Star TV,Kemal Sunal - Ebru Şimşek - Murat Aydın - Bülent Bilgiç - Necdet Yakın - Emrah Demirci,1994
Şaşıfelek Çıkmazı,TRT,Mahinur Ergun - (1996-1998) - Çağan Irmak -  (2001),4,Drama,"TRT 1 -  ,",Derya Alabora - Zuhal Gencer - Fikret Kuşkan - Füsun Demirel - Dilaver Uyanık - Suzan Aksoy - Mahperi Mertoğlu - Aysun Metiner - Hakan Tanfer,1996
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,Dram,atv,Türkân Şoray - Can Gürzap - Faruk Peker,1994
Ayşecik,Koliba Film,Ayhan Önal - Gürsel Ateş,2,Drama,Show TV,Ecem Kanun,1997
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil - Ümit Volkan,2,Komedi,Star TV -   - HBB,Nezih Tuncay - Orçun Sonat - Yasemin Koşat - Ali Yalaz - Hadi Çaman - Halit Akçatepe - Gönül Tuncay - Ayşegül Uygurer,1991
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
Süper Baba,Kare Ajans,Osman Sınav - Tunca Yönder - Orhan Oğuz - Kartal Tibet - Feyzi Tuna,4,Dram,atv,Şevket Altuğ - Jülide Kural - Seray Gözler - Sümer Tilmaç - İsmet Ay - Şevval Sam - Bennu Yıldırımlar,1993
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Kurtuluş,TRT,Ziya Öztan,1,Tarihî,TRT 1,Rutkay Aziz - Mahmut Cevher - Savaş Dinçel - Altan Erkekli - Ayda Aksel - Macide Tanır,1994
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner - Ümit Efekan - Mehmet Bozkuş - Erdoğan Tokatlı,7,Aile - Komedi,atv -   - TRT 1,Erol Günaydın - Eşref Kolçak - Ümit Yesin - Bekir Aksoy - Cengiz Küçükayvaz -,1995
Gözlerinde Son Gece,Gold Film,Faruk Turgut,1,Drama,Star TV,Türkan Şoray - Rutkay Aziz - Kaan Girgin - Selen Yıldız - Levent Özdilek - Atilla Olgaç - Bülent Bilgiç,1996
Küçük İbo,Sedine Prodüksiyon,Hüseyin Karakaş - Zeynep Tor,4,Dram - Gerilim,Show TV,"İbrahim Küçük -  (İbo), - Bülent Bilgiç -  (Hasan), - Yasemin Koşal -  (Aysel), - Levent Üzümcü -  (Raşit), - Nazan Ersan -  (Cemile), - Selen Güzel -  (Mine), - Ceyda Ateş -  (Elmas), - Canan Kılıç -  (Ayşe), - Günyol Bakoğlu -  (Mehmet), - Nurhan Yılma -  (Menekşe), - Şinasi Yurtsever -  (Selçuk) - Canan Akgül -  (Hatice) - Merve Erdoğan -  ()",1997
Baba Evi,Muhteşem Film,Yusuf Kurçenli - Orhan Oğuz - Mahinur Ergun - Feyzi Tuna - Erden Kıral,4,Dram,atv,Halil Ergün - Deniz Gökçer - Sevinç Erbulak - Ayşegül Ünsal - Altan Karındaş - İsmet Ay - İhsan Devrim,1997
Kara Melek,Eylül TV,Uğur Erkır -  (1. sezon) - Dilek Gökçin - Türkan Derya,4,Macera - Dram,Star TV,Sanem Çelik - Ece Uslu - Mustafa Alabora - Toprak Sergen - Ziya Kürküt - Zehra Alptürk - Aliye Uzunatağan - Sevtap Çapan - Memet Ali Alabora - Şenay Gürler - Ebru Akel - Yağmur Kaşifoğlu -  ve  - Zerrin Arbaş,1997
Karışık İş,Ay Yapım,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Füsun Önal - İsmail İncekara - Saltuk Kaplangı - Gazanfer Ündüz - Fulya Özcan - Çiçek Dilligil - Göksel Kortay,1991
Fırıldak Nuri,Gold Film,Aydın Bağardı,1,Komedi,Star TV,Mehmet Ali Erbil - Hamdi Alkan - Baykal Kent,1995
Zapping Ailesi,Vipsaş,Naci Çelik,1,Aile - Komedi,Kanal D,Selma Güneri - Saadettin Erbil - Tuna Arman - Tuncay Özinel - Engin Tezel - Aytek Yılmaz,1993
Yazlıkçılar,Bugay Yapım,Yalçın Yelence,6,Aile - Komedi - Macera - Duygusal,TRT 1 -    - Star TV,Engin Şenkan - Ayşe Kökçü - Ercan Yazgan - Sıdıka Şenkan - Güzin Özipek,1993
Savcı,Par Productions,Kadir İnanır,1,Politik - Macera,Star TV,Kadir İnanır - Ani İpekkaya - Aylin Arasıl - Diler Saraç - Gökhan Mete - Mustafa Alabora - İsmet Ay,1992
Kimse Durduramaz,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Rıza Pekkutsal - Göksel Kortay - Gazanfer Ündüz - Fulya Özcan - Saltuk Kaplangı - Zihni Küçümen - Selahattin Taşdöğen,1991
Kahraman Damat,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Halit Akçatepe - Tolga Aşkıner - Nilgün Belgün - Toygun Ateş - Rıza Pekkutsal,1992
Gurbetçiler,ATV,Yücel Uçanoğlu - Umut Gelgör - Metin Günay,4,Aile - Komedi - Duygusal,atv -    - Kanal 6,Uğur Uludağ - Ahu Türkpençe - Aykut Oray - Berke Üzrek - Yıldırım Öcek,1996
Örümcek,Sedine Prodüksiyon,Zeynep Tor,4,Dram - Gerilim,Show TV,Nilüfer Kurt - İpek Tenolcay - Betül Arım - Asuman Dabak - Aykut Sözeri,1997
Yasemince,Erler Film, Mustafa Şevki Doğan - Kartal Tibet,12,Komedi,Show TV -   - atv -   - Kanal D -   - Star TV -   - FOX -   - Kanal 7 -   -  - Kanaltürk,Yasemin Yalçın - İlyas İlbey,1993
Fırtınalar,Doku Film,Ünal Küpeli,2,Dram - Aile,Star TV,Ebru Gündeş - Kerem Alışık,1996
Laf Lafı Açıyor,Medyapım,Cem Özer,3,Komedi - Talkshow,Kanal D,Cem Özer - Müjdat Gezen - Cenk Koray,1991
Ben Olsaydım,STR Film,Uğur Erkır,1,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Hadi Çaman - Saltuk Kaplangı - Doğu Erkan - Cengiz Keskinkılıç - Osman Gidişoğlu - Erdoğan Dikmen - Aliye Tölak,1991
Aysarının Zilleri,TRT,Şahin Gök,1,Dram,TRT 1,Yalçın Dümer Engin İnal Levent İnanır,1992
Bizim Ev,Altınkesit,İsmail Güneş,3,Aile - Duygusal - Macera,TGRT,Cüneyt Arkın,1996
Kızlar Yurdu,Arajans,Kartal Tibet - (1-19) - Taner Akvardar - (20-26),1,Aile - Komedi,Teleon,Perran Kutman - Alev Emre - Ali Berge - Özdemir Han - Ali Karagöz - Anıl Dalgıç,1992
Zirvedekiler,Erler Film,Halit Refiğ,1,Drama,Show TV,Cüneyt Arkın - Gülşen Bubikoğlu,1995
Tatlı Kaçıklar,Erler Film,Aram Gülyüz,5,Durum komedisi,atv,Mehmet Ali Erbil - Yalçın Menteş - Buket Dereoğlu - Neslihan Yeldan - Pelin Körmükçü - İsmet Ay - Erol Günaydın - Meltem Cumbul - Kayhan Yıldızoğlu - Ümit Okur - Dursun Ali Sarıoğlu - Yıldız Kaplan,1996
Sevginin Gücü,Erler Film,Ümit Efekan,1,Dram,Show TV,Hülya Avşar - Tarık Tarcan - Tolga Savacı - Maide Erçelebi - Bülent Bilgiç,1994
Geçmiş Bahar Mimozaları,TRT,Okan Uysaler,1,Dram - Psikolojik,TRT 1,Filiz Akın - Rutkay Aziz - Ceylan Palay - Müşfik Kenter - Güler Ökten - Nurseli İdiz - Musa Uzunlar,1989
Gençler,TRT,Adem Kılıç,1,Duygusal - Gençlik - Komedi,TRT 1,Ziya Kürküt - Fikret Kuşkan - Oktay Kaynarca - Bilge Parlak - Melike Altunbaran - Zeynep Özden Ayyıldız - Çetin Etili,1989
155 Polis İmdat,Emek Film,Şahin Gök,2,Polisiye - Aksiyon - Dram - Komedi,Show TV -    - Kanal D,Necla Nazır - Bülent Bilgiç - Murat Soydan - Yusuf Sezgin,1994
Böyle mi Olacaktı,Erler Film,Ümit Efekan - Temel Gürsu - Şahin Gök,6,Dram - Aile - Gençlik,atv,Açelya Akkoyun - Berna Laçin - Hande Ataizi,1997
Taşların Sırrı,Star 1,Yusuf Kurçenli,1,Gizem kurgu - Fantezi - Macera,Star TV,Tarık Akan - Ayşegül Aldinç - Merih Akalın - Tuncer Necmioğlu - Bilge Zobu - Ali Çoban - Coşkun Göğen - Menderes Samancılar,1992
Canısı,Gold Film,Temel Gürsu,1,Dram - Macera,Show TV,İbrahim Erkal - Emine Ün - Yusuf Çetin - Sevtap Parman - Tanju Gürsu - Sedef Bildik - Canan Perver - Kuzey Vargın - Nur Subaşı - Murat Soydan - Engin Koç,1997
Kanun Savaşçıları,TRT,Emin Gerçeker,1,Aksiyon - Macera - Polisiye,TRT 1,Serdar Gökhan - Eşref Kolçak - Özlem Savaş - Yusuf Sezgin - Savaş Akova - Orsel Sonat - Sermin Karaali - Perin Karaali - Tanju Şarman,1989
Sıcak Saatler,Sinegraf  (1-17) Detay Film,Osman Sınav -  (1-13) - Mustafa Şevki Doğan -  (14-28) - Sadullah Celen -  (29-30) - Veli Çelik -  (30-67)  - Mehmet Aslantuğ -  (67-80),3,Dram - Duygusal - Macera - Polisiye,atv,Mehmet Aslantuğ - Arzum Onan - Nihat Nikerel - Kenan Işık - Aytaç Yörükaslan - Sevda Ferdağ,1997
Gül ve Diken,Kemal Film,Osman F. Seden,1,Romantik - Duygusal,Star TV,Aydan Şener - Murat Parasayar - Müge Arda - Tomris Oğuzalp - Ozan Bilen,1994
Boşgezen ve Kalfası,Ortaoyuncular,Ferhan Şensoy,1,Komedi,Flash TV,Ferhan Şensoy - Suna Pekuysal - Derya Baykal - Rasim Öztekin - Tarık Pabuçcuoğlu - Levent Ünsal - Settar Tanrıöğen - Şükran Dedeman - Pınar Alsan,1995
Mahallenin Muhtarları,Replik Yapım,Oğuz Yalçın - Filiz Kaynak - Avni Kütükoğlu - Nursan Esenboğa,10,Aile,Kanal 6 -   - atv -   - Kanal D -   - Star TV,Aydan Burhan - Erkan Can - Cihat Tamer - Işık Aras - Goncagül Sunar - Esra Akkaya - Nedret Özbek - Leman Çıdamlı - Filiz Taçbaş,1992
Saygılar Bizden,Bugay Yapım,Zeki Ökten,1,Dram - Komedi - Politika,InterSTAR,Kemal Sunal - Jülide Kural - Selma Tarcan - Yaman Tarcan - Nur Gürkan - Alev Oraloğlu - Tuncer Necmioğlu - Zafer Algöz - Yaman Okay - Güler Ökten - Ozan Bilen - Orhan Çağman - Kutay Köktürk - Erdinç Dinçer,1992
Gerçek Kesit,Flash TV,Erbay Gül,13,Gerilim - Aksiyon - Dram - Absürt komedi,Flash TV,Cahit Kaşıkçılar - Cevat Dinçer - Mehmet Vanlıoğlu,1993
Bizim Mahalle,TRT,Ülkü Erakalın - Tulip Karamanbey - Temel Gürsu - Tangör Toydemir - Ayhan Önal,8,Aile - Komedi - Macera,TRT 1,Neslihan Acar - Osman Yağmurdereli - Üstün Asutay - Neriman Köksal - Nilgün Belgün - Meltem Ören - İlhan Daner,1994
Eşref Saati,Pana Film,Ümit Volkan,2,Komedi,Kanal D,Tuluğ Çizgen - Cihat Tamer - Suna Yıldızoğlu - Suat Sungur - Arzu Atalay - Hadi Çaman,1993
