Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Kader Ayırsa Bile,Star TV,Tunca Yönder,1,Dram,Star TV,Esra Ronabar - Serkan Üstüner - Suna Dizdar - Erdoğan Kapısız - Ulvi Alacakaptan - Sühan Karaduman - Betül Kızılok Bavli - Fırat Çöloğlu,2002
Kaynanalar,TRT,Tekin Akmansoy - Arzu Akmansoy,14,Sitcom,"TRT -  , ,  - Kanal D",Tekin Akmansoy - Leman Çıdamlı - Defne Yalnız - Sevda Aydan - Ege Aydan - Münir Caner - Sermin Hürmeriç - Sezai Aydın,1974
Bizim Kuruntu Ailesi,TGRT,Bülent Özdural,2,Sitcom,TGRT,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Doğan Aybay - Şemsay Çankara - Saltuk Kaplangı - Tomris Oğuzalp - Aliye Tölak - Tarık Ündüz - Engin Gürmen - Ferdi Atuner - Şensel Uykal - Reyhan Ayyüzlü,1997
Kaygısızlar,3 Nokta Film,Oğuz Yalçın - Ayhan Önal - Cankat Ergin - Samim Değer - Temel Gürsu - Uğur Erkır,4,Komedi,"Kanal D -  ,  - Star TV -   - Kanal 6",Ercan Yazgan - Halit Akçatepe - Ayşen Gruda - Gülçin Hatıhan - Çiçek Dilligil - Yılmaz Köksal - Sibel Seyhan - Şoray Uzun - Damla Özen - Yalçın Avşar - Ülkü Duru,1994
Şeytan Ayrıntıda Gizlidir,Renkli Türkçe Film Yapım,Cevdet Mercan,1,Polisiye,TRT 1,Çetin Tekindor - Nejat İşler - İrem Altuğ - Meral Çetinkaya - Fırat Tanış - Ali Sürmeli - Ümit Acar - Engin Cezzar - Erol Keskin - Fatih Koyunoğlu - Levend Yılmaz - Gazanfer Ündüz - Mete Horozoğlu - Aytekin Özen - Mert Turak - Ayşen İnci - Erkan Kolçak Köstendil - Hasan Küçükçetin - Fulya Ündüz - İnan Ulaş Torun - Umut Sinem Tuncer - Ayhan Taş - Halil İbrahim Aras - İhsan Devrim - Ayhan Eroğlu,2004
Sultan Makamı,Avşar Film,Aydın Bulut,1,Dram,Kanal D,Şevket Çoruh - Başak Köklükaya - Uğur Polat - Dolunay Soysert - Kerem Atabeyoğlu - Suzan Elif Kılınç,2003
Sihirli Safiye,D Productions,Yavuz Figenli,1,Fantastik - Aile - Komedi,Kanal D,Seden Kızıltunç - Oğuz Oktay - Ayben Erman - Şerif Arslan - Fatoş Kara,1994
Türkmen Düğünü,TRT,Adem Ayral,1,Duygusal,TRT 1,Yılmaz Zafer - Ece Pirim - Nilgün Bubikoğlu - Zerrin Çaldıran - Asuman Arsan - Nevin Aypar - Atilla Ergün,1989
Benim İçin Ağlama,Yağmur Ajans,Ümit Efekan,1,Drama,TGRT,Fatma Girik - Bulut Aras - Yeşim Büber - Ebru Akel - Gökhan Tepe,2000
İtilmiş ve Kakılmış,Sinegraf Tükenmezkalem Film,Osman Sınav - Mustafa Şevki Doğan - Orhan Oğuz - Kartal Tibet - Adnan Güler,4,Aksiyon - Polisiye - Suç - Gerilim - İstihbarat - Komedi - Dram,Star TV -  - Show TV,İlyas İlbey - Yasemin Yalçın,1997
Zalim,Böcek Yapım,Faruk Teber - Jale İncekol,1,Macera,Star TV,Mahsun Kırmızıgül - Ceyda Düvenci - Zafer Ergin - Nebahat Çehre - Ümit Okur - Şafak Sezer - Taner Ertürkler - Ali Emre Ateş - Levent Yılmaz - Cezmi Baskın - Damla Özen - Güner Özkul - Aliye Uzunatağan - Evren Alganatay,2003
Karakolda Ayna Var,TRT,Kudret Sabancı,1,Komedi,TRT 1,Müjde Ar - Erdal Özyağcılar - Perihan Savaş - Hasan Demircan - Suavi Eren - Alev Sururi - Avni Yalçın,2000
Aşkım Aşkım,Yağmur Ajans,Filiz Kaynak -  (2001-2002) - Nursan Esenboğa -  (2008),2,Komedi,Kanal D -   - Kanal 1,Emel Sayın - Mehmet Ali Erbil - Doğa Rutkay - Engin Günaydın - Günay Karacaoğlu - Ayumi Takano,2001
Kadın İsterse,Mint Ay Yapım İmaj TV  (teknik yapım),Bora Tekay,2,Dram - Komedi,Star TV -    - Show TV,Hülya Avşar - Cihan Ünal - Deniz Çakır - Zerrin Sümer - Derya Baykal - Kazım Akşar - Burçin Terzioğlu - Vildan Atasever - Oğuz Oktay - Cahit Kaşıkçılar - Elif Tayhan,2004
Sayın Bakanım,Medyapım,Fatih Aksoy - Fatmanur Sevinç,1,Komedi,atv,Ali Sunal - Haluk Bilginer - Haldun Dormen - Kenan Işık,2004
Çılgın Bediş,D Productions,Turgut Yasalar -  (1-5) - Yavuz Figenli -  (6-53) - Çetin İnanç -  (54-65) - Ömer Uğur -  (66-70),4,Gençlik - Komedi,Kanal D -   - Show TV,Yonca Evcimik - Cenk Torun - Çiçek Dilligil - Selahattin Taşdöğen,1996
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
Yerim Seni,Devekuşu, Zeki Alasya -  - Adem Ayral,1,Komedi,Star TV,Serdar Akar - Adem Ayral - Zeki Alasya,1997
Mavi Rüya,Ser Film,Avni Kütükoğlu - Cemile Kırmızı Karadaş,2,Dram - Gerilim,Samanyolu TV,Melda Bekcan - Ali Başar - Esin Civangil,2004
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,Komedi,Star TV,Aydan Şener - Zehra Alptürk - Nuri Alço - Bülent Bilgiç - Murat Parasayar,1994
Ruhsar,ANS Productions,Ümmü Burhan - Samim Değer - Ömür Atay,5,Fantastik - Komedi,Kanal D -   - Kanal D -    - Euro D -    - D Max -    - teve2,Hande Ataizi - Cem Davran,1998
Bayanlar Baylar,ANS Productions,Erdoğan Engin,1,Komedi,Kanal D,Oktay Kaynarca - Hande Ataizi - Günay Karacaoğlu - Yavuz Bingöl - Levent Üzümcü - Aşkın Nur Yengi - Belma Canciğer - Sümer Tilmaç - Emine Ün - Mansur Ark - Nükhet Duru - Özlem Yıldız,2002
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  - Avni Kütükoğlu -  (44 bölüm),2,Dram,TRT 1,Dilaver Uyanık - Yılmaz Erdoğan - Ferdi Akarnur - Necati Bilgiç - Tayfun Çorağan - Nüvit Özdoğru - Ayla Algan,1992
Cennet Mahallesi,Erler Film,Serdar Akar -  (1-6) - Yaşar Seriner -  (7-119),3,Komedi,Show TV,Melek Baykal - Müjdat Gezen - Özkan Uğur - Alişan - Çağla Şıkel - Zeki Alasya,2004
Şehnaz Tango,Ar Ajans,Taner Akvardar - Semih Kaplanoğlu - Sadullah Celen - Nursan Esenboğa - Hüdaverdi Yavuz,4,Romantik komedi - Dram - Aşk,Show TV -   - Star TV,Perran Kutman - Erdal Özyağcılar,1994
Büyümüş de Küçülmüş,D Productions,Cem Karcı,1,Sit-com - Komedi,Kanal D,Mehmet Ali Erbil - Melisa Sözen - Nilgün Belgün - İlkay Saran - Taner Ergör - Pamela Spence - Gökçe Akyıldız - Arda Esen - Sevinç Aktansel - Misak Toros - Kerem Altaylar,2003
Bay Kamber,Doku Film,Ünal Küpeli,1,Komedi - Macera - Aile,Star TV,Kemal Sunal - Ebru Şimşek - Murat Aydın - Bülent Bilgiç - Necdet Yakın - Emrah Demirci,1994
Gülbeyaz,eyeQ prodiction,Özer Kızıltan,1,Macera - Drama,Kanal D,Şevval Sam - Nejat İşler - Meral Çetinkaya - Kamran Usluer - Bora Ayanoğlu - Yeşim Ceren Bozoğlu,2002
Çocuklar Ne Olacak,Mint Prodüksiyon,Raşit Çelikezer,1,Aile - Komedi,Star TV,Ayşecan Tatari - Furkan Kızılay - Özgür Ozan - Zeyno Günenç - Ferdi Akarnur - Ayşen Tekin,2004
Mihriban,TRT Gold Film,Yalçın Yelence,1,Dram,TRT 1,Hülya Koçyiğit - Sevinç Gürşen Akyıldız - Lemi Filozof - Erdal Özyağcılar - Oktay Korunan - Ebru Gediz - Cevdet Arıcılar,2002
Zehirli Çiçek,Erler Film,Temel Gürsu - 	Samim Değer,2,Dram - Gerilim,Show TV,Tuğba Özay - Çağla Şıkel - Aysun Kayacı - Özlem Savaş - Burak Hakkı - Kerem Alışık - Faruk Peker - Tarık Tarcan - Karahan Çantay - Levent Özdilek - Petek Dinçöz - Zuhal Topal - Sibel Gökçe - Güneş Berberoğlu - Efgan Efekan - Ahmet Uz - Semra Dinçer - Orçun Sonat,2000
Koçum Benim,Replik Ajans,Vecihi Ener - Serdar Akar,2,Komedi - Aile,TRT 1,Tarık Akan - Ebru Cündübeyoğlu - Engin Altan - Sevil Üstekin - Zihni Göktay - Ozan Güven - Yunus Günçe,2002
Şaşıfelek Çıkmazı,TRT,Mahinur Ergun - (1996-1998) - Çağan Irmak -  (2001),4,Drama,"TRT 1 -  ,",Derya Alabora - Zuhal Gencer - Fikret Kuşkan - Füsun Demirel - Dilaver Uyanık - Suzan Aksoy - Mahperi Mertoğlu - Aysun Metiner - Hakan Tanfer,1996
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,Dram,atv,Türkân Şoray - Can Gürzap - Faruk Peker,1994
Utanmaz Adam,Koliba Film,Tunca Yönder,1,Komedi,atv,Okan Bayülgen - Zafer Algöz - Bennu Yıldırımlar - Settar Tanrıöğen,1998
Şubat Soğuğu,Ser Film,Murat Saraçoğlu -  (1-6) - Gürsel Ateş (7-14) - Etka Yeşiltepe (15) - Sabri Saydam (16-28) - Demir Keskin (29-63) - Avni Kütükoğlu (64-78),2,Dram - Polisiye,Samanyolu TV,Kenan Bal - Suavi Eren,2004
Ayşecik,Koliba Film,Ayhan Önal - Gürsel Ateş,2,Drama,Show TV,Ecem Kanun,1997
Deli Yürek,Sinegraf,Osman Sınav,4,Aksiyon - Dram - Politik,Show TV -   - atv,Kenan İmirzalıoğlu - Zeynep Tokuş - Melda Bekcan - Demir Karahan - Kürşat Alnıaçık - Ali Sürmeli - Selçuk Yöntem,1998
Kurtlar Vadisi,Sinegraf  (2003-2004)  Pana Film  (2004-2005),Osman Sınav -  (1-55)  - Mustafa Şevki Doğan -  (21-55)  - Serdar Akar -  (56-97),4,Aksiyon - Dram - Politik,Show TV -    - Kanal D,Necati Şaşmaz - Özgü Namal - Selçuk Yöntem - Oktay Kaynarca - Zafer Ergin - Gürkan Uygun,2003
Büyük Yalan,Gold Film [1],Yüksel Aksu - Adnan Güler,2,Drama,atv - [2],Emrah - Sinem Öztufan,2004
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil - Ümit Volkan,2,Komedi,Star TV -   - HBB,Nezih Tuncay - Orçun Sonat - Yasemin Koşat - Ali Yalaz - Hadi Çaman - Halit Akçatepe - Gönül Tuncay - Ayşegül Uygurer,1991
Bizim Evin Halleri,TRT Focus Film,Tülay Eratalay - Tarık Alpagut - Cafer Özgül - [1],10,Aile - Komedi - Duygusal - Dram,TRT 1 -   - Kanal 1 -   - atv,Beyhan Saran - Meral Niron - Emel Göksu - Ayşe Nil Şamlıoğlu - Şahap Sayılgan - Nusret Çetinel - Pervin Ünalp - Burak Demir - Murat Demir - Ozan Şenozan - Berfu Öngören - Hülya Gülşen Irmak - Dilara Yalçın,2000
Çemberimde Gül Oya,Avşar Film,Çağan Irmak,1,Dram - Politik,Kanal D,Selda Alkor - Özge Özberk - Mehmet Ali Nuroğlu - Tuba Büyüküstün - Melisa Sözen - Suzan Aksoy - Şerif Sezer - Kenan Bal - Işıl Yücesoy,2004
Sırılsıklam,Ulus Production,Temel Gürsu,2,Drama - Macera,Show TV,İbrahim Erkal - Melis Yamalıoğlu - Süleyman Turan - Engin Koç - Canan Perver - Deniz Eroğlu - Yosi Mizrahi - Eşref Kolçak - Kuzey Vargın - Engin Günay - Şener Gezgen - Burçin Terzioğlu,1998
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Bir İstanbul Masalı,TMC,Ömür Atay,2,Aşk - Drama,atv,Mehmet Aslantuğ - Ahu Türkpençe - Çetin Tekindor - Altan Erkekli - Arsen Gürzap - Vahide Perçin - İsmail Hacıoğlu - Ozan Güven,2003
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
İkinci Bahar,Erler Film Most Production,Uğur Yücel - Orhan Oğuz - Türkan Derya,3,Dram,atv,Türkan Şoray - Şener Şen - Tarık Papuççuoğlu - Güven Hokna - Nedim Saban - Özkan Uğur - Nurgül Yeşilçay - Ozan Güven,1998
Süper Baba,Kare Ajans,Osman Sınav - Tunca Yönder - Orhan Oğuz - Kartal Tibet - Feyzi Tuna,4,Dram,atv,Şevket Altuğ - Jülide Kural - Seray Gözler - Sümer Tilmaç - İsmet Ay - Şevval Sam - Bennu Yıldırımlar,1993
Küçük Besleme,"Yeni Yapımlar Yönder Ltd,Şti",Tunca Yönder,3,Dram,Star TV,Tomris Oğuzalp - Nur Kulakoğlu - Esmeray - Gökhan Eğilmezbaş - Kuzey Vargın,1999
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Vay Anam Vay,D Productions,Erdoğan Engin,1,Komedi,Kanal D,Nevra Serezli - Atilla Olgaç - Sıdıka Şenkan - Ayhan Kavas - Gülen Karaman - Hakan Vanlı - Burçak Işımer - Metin Zakoğlu - Saydam Yeniay - Melike Güner - Alev Cınbarcı - Rüyam Olunçay - Parkan Özturan - Kaya Gürel - Ezgim Kılınç - Mustafa Uzunyılmaz - Nesrin İşçi - Nihal Menzil -,2000
Aliye,TMC Film,Kudret Sabancı,3,Dram,atv,Sanem Çelik - Nejat İşler - Halit Ergenç,2004
Kurtuluş,TRT,Ziya Öztan,1,Tarihî,TRT 1,Rutkay Aziz - Mahmut Cevher - Savaş Dinçel - Altan Erkekli - Ayda Aksel - Macide Tanır,1994
Hürrem Sultan,Medyapım,Fatih Aksoy - Fatmanur Sevinç,1,Tarihî,Star TV,Gülben Ergen - Ali Sürmeli - Hatice Aslan - Serdar Deniz,2003
Yabancı Damat,Erler Film,Yağmur Taylan - Durul Taylan,3,Dram,Kanal D,Erdal Özyağcılar - Sumru Yavrucuk - Nehir Erdoğan - Özgür Çevik - Arif Erkin - Zeki Alasya - Binnur Kaya - Tülin Oral - Yılmaz Gruda,2004
Efsane,Replik Ajans,Tunç Başaran,1,Fantastik - Polisiye - Macera,Star TV,Şemsi İnkaya - Tardu Flordun,2002
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner - Ümit Efekan - Mehmet Bozkuş - Erdoğan Tokatlı,7,Aile - Komedi,atv -   - TRT 1,Erol Günaydın - Eşref Kolçak - Ümit Yesin - Bekir Aksoy - Cengiz Küçükayvaz -,1995
Gözlerinde Son Gece,Gold Film,Faruk Turgut,1,Drama,Star TV,Türkan Şoray - Rutkay Aziz - Kaan Girgin - Selen Yıldız - Levent Özdilek - Atilla Olgaç - Bülent Bilgiç,1996
Küçük İbo,Sedine Prodüksiyon,Hüseyin Karakaş - Zeynep Tor,4,Dram - Gerilim,Show TV,"İbrahim Küçük -  (İbo), - Bülent Bilgiç -  (Hasan), - Yasemin Koşal -  (Aysel), - Levent Üzümcü -  (Raşit), - Nazan Ersan -  (Cemile), - Selen Güzel -  (Mine), - Ceyda Ateş -  (Elmas), - Canan Kılıç -  (Ayşe), - Günyol Bakoğlu -  (Mehmet), - Nurhan Yılma -  (Menekşe), - Şinasi Yurtsever -  (Selçuk) - Canan Akgül -  (Hatice) - Merve Erdoğan -  ()",1997
Baba Evi,Muhteşem Film,Yusuf Kurçenli - Orhan Oğuz - Mahinur Ergun - Feyzi Tuna - Erden Kıral,4,Dram,atv,Halil Ergün - Deniz Gökçer - Sevinç Erbulak - Ayşegül Ünsal - Altan Karındaş - İsmet Ay - İhsan Devrim,1997
Alacakaranlık,Paranoya TV,Yağmur Taylan - Paxton Winters - Durul Taylan - Alican Yücel,2,Polisiye - Macera - Gerilim - Aksiyon,Show TV,Uğur Yücel - Kenan İmirzalıoğlu,2003
Zerda,TMC,Kudret Sabancı,2,Drama,atv,Yavuz Bingöl - Ece Uslu - Burak Sergen - Güven Hokna - Halit Ergenç - Hülya Şen,2002
Kara Melek,Eylül TV,Uğur Erkır -  (1. sezon) - Dilek Gökçin - Türkan Derya,4,Macera - Dram,Star TV,Sanem Çelik - Ece Uslu - Mustafa Alabora - Toprak Sergen - Ziya Kürküt - Zehra Alptürk - Aliye Uzunatağan - Sevtap Çapan - Memet Ali Alabora - Şenay Gürler - Ebru Akel - Yağmur Kaşifoğlu -  ve  - Zerrin Arbaş,1997
Karışık İş,Ay Yapım,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Füsun Önal - İsmail İncekara - Saltuk Kaplangı - Gazanfer Ündüz - Fulya Özcan - Çiçek Dilligil - Göksel Kortay,1991
Fırıldak Nuri,Gold Film,Aydın Bağardı,1,Komedi,Star TV,Mehmet Ali Erbil - Hamdi Alkan - Baykal Kent,1995
Eyvah Babam,Doku Film,Ünal Küpeli -  (1–39)  -  Cemal Kavrar (35–39),2,Komedi,Kanal D,Haluk Bilginer - Osman Cavcı - Savaş Ay - Uğur Kıvılcım - Umut Sezgin - Açelya Elmas,1998
Yedi Numara,TRT,Haluk Bener - Sadullah Celen,3,Gençlik - Komedi,TRT 1,Şebnem Sönmez - Engin Alkan - Tuba Erdem - Okan Selvi - Ayça Mutlugil - Nuray Uslu - Gülden Güney - Volkan Girgin,2000
Gurbet Kadını,Erler Film,Melih Gülgen,2,Dram,Show TV,Meltem Cumbul - Burak Hakkı - Fatma Girik,2003
Asmalı Konak,ANS Productions D Productions,Çağan Irmak,2,Dram - Duygusal,atv,Özcan Deniz - Nurgül Yeşilçay - Selda Alkor,2002
Zapping Ailesi,Vipsaş,Naci Çelik,1,Aile - Komedi,Kanal D,Selma Güneri - Saadettin Erbil - Tuna Arman - Tuncay Özinel - Engin Tezel - Aytek Yılmaz,1993
Uy Başuma Gelenler,Süreç Film,Berrin Dağçınar,1,Komedi,Show TV,Hakan Yılmaz - Başak Köklükaya - Aykut Oray - Nefise Karatay - Mustafa Üstündağ,2004
Yazlıkçılar,Bugay Yapım,Yalçın Yelence,6,Aile - Komedi - Macera - Duygusal,TRT 1 -    - Star TV,Engin Şenkan - Ayşe Kökçü - Ercan Yazgan - Sıdıka Şenkan - Güzin Özipek,1993
Savcı,Par Productions,Kadir İnanır,1,Politik - Macera,Star TV,Kadir İnanır - Ani İpekkaya - Aylin Arasıl - Diler Saraç - Gökhan Mete - Mustafa Alabora - İsmet Ay,1992
Kimse Durduramaz,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Rıza Pekkutsal - Göksel Kortay - Gazanfer Ündüz - Fulya Özcan - Saltuk Kaplangı - Zihni Küçümen - Selahattin Taşdöğen,1991
Kahraman Damat,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Halit Akçatepe - Tolga Aşkıner - Nilgün Belgün - Toygun Ateş - Rıza Pekkutsal,1992
Gurbetçiler,ATV,Yücel Uçanoğlu - Umut Gelgör - Metin Günay,4,Aile - Komedi - Duygusal,atv -    - Kanal 6,Uğur Uludağ - Ahu Türkpençe - Aykut Oray - Berke Üzrek - Yıldırım Öcek,1996
Örümcek,Sedine Prodüksiyon,Zeynep Tor,4,Dram - Gerilim,Show TV,Nilüfer Kurt - İpek Tenolcay - Betül Arım - Asuman Dabak - Aykut Sözeri,1997
Yasemince,Erler Film, Mustafa Şevki Doğan - Kartal Tibet,12,Komedi,Show TV -   - atv -   - Kanal D -   - Star TV -   - FOX -   - Kanal 7 -   -  - Kanaltürk,Yasemin Yalçın - İlyas İlbey,1993
Üvey Baba,Yeni Yapımlar Yönder TV & Film Ltd.,Tunca Yönder,6,Dram,"Star TV -  ,   - Teleon -   - Flash TV",Şemsi İnkaya - Betül Aşçıoğlu - Burçin Abdullah - Seda Çetin - Tunca Yönder,1998
Fırtınalar,Doku Film,Ünal Küpeli,2,Dram - Aile,Star TV,Ebru Gündeş - Kerem Alışık,1996
Laf Lafı Açıyor,Medyapım,Cem Özer,3,Komedi - Talkshow,Kanal D,Cem Özer - Müjdat Gezen - Cenk Koray,1991
Ben Olsaydım,STR Film,Uğur Erkır,1,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Hadi Çaman - Saltuk Kaplangı - Doğu Erkan - Cengiz Keskinkılıç - Osman Gidişoğlu - Erdoğan Dikmen - Aliye Tölak,1991
Aysarının Zilleri,TRT,Şahin Gök,1,Dram,TRT 1,Yalçın Dümer Engin İnal Levent İnanır,1992
"Dedem, Gofret ve Ben",Yağmur Ajans,Zeki Alasya,1,Komedi - Aile,TRT 1,Zeki Alasya - Selma Güneri - İclal Aydın - Hazım Körmükçü - Nejat İşler - Barış Küçükgüler - Halit Ergenç,2001
