Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Aşkım Aşkım,Yağmur Ajans,Filiz Kaynak -  (2001-2002) - Nursan Esenboğa -  (2008),2,Komedi,Kanal D -   - Kanal 1,Emel Sayın - Mehmet Ali Erbil - Doğa Rutkay - Engin Günaydın - Günay Karacaoğlu - Ayumi Takano,2001
Çılgın Bediş,D Productions,Turgut Yasalar -  (1-5) - Yavuz Figenli -  (6-53) - Çetin İnanç -  (54-65) - Ömer Uğur -  (66-70),4,Gençlik - Komedi,Kanal D -   - Show TV,Yonca Evcimik - Cenk Torun - Çiçek Dilligil - Selahattin Taşdöğen,1996
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
Yerim Seni,Devekuşu, Zeki Alasya -  - Adem Ayral,1,Komedi,Star TV,Serdar Akar - Adem Ayral - Zeki Alasya,1997
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,Komedi,Star TV,Aydan Şener - Zehra Alptürk - Nuri Alço - Bülent Bilgiç - Murat Parasayar,1994
Ruhsar,ANS Productions,Ümmü Burhan - Samim Değer - Ömür Atay,5,Fantastik - Komedi,Kanal D -   - Kanal D -    - Euro D -    - D Max -    - teve2,Hande Ataizi - Cem Davran,1998
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  - Avni Kütükoğlu -  (44 bölüm),2,Dram,TRT 1,Dilaver Uyanık - Yılmaz Erdoğan - Ferdi Akarnur - Necati Bilgiç - Tayfun Çorağan - Nüvit Özdoğru - Ayla Algan,1992
Şehnaz Tango,Ar Ajans,Taner Akvardar - Semih Kaplanoğlu - Sadullah Celen - Nursan Esenboğa - Hüdaverdi Yavuz,4,Romantik komedi - Dram - Aşk,Show TV -   - Star TV,Perran Kutman - Erdal Özyağcılar,1994
Bay Kamber,Doku Film,Ünal Küpeli,1,Komedi - Macera - Aile,Star TV,Kemal Sunal - Ebru Şimşek - Murat Aydın - Bülent Bilgiç - Necdet Yakın - Emrah Demirci,1994
Zehirli Çiçek,Erler Film,Temel Gürsu - 	Samim Değer,2,Dram - Gerilim,Show TV,Tuğba Özay - Çağla Şıkel - Aysun Kayacı - Özlem Savaş - Burak Hakkı - Kerem Alışık - Faruk Peker - Tarık Tarcan - Karahan Çantay - Levent Özdilek - Petek Dinçöz - Zuhal Topal - Sibel Gökçe - Güneş Berberoğlu - Efgan Efekan - Ahmet Uz - Semra Dinçer - Orçun Sonat,2000
Şaşıfelek Çıkmazı,TRT,Mahinur Ergun - (1996-1998) - Çağan Irmak -  (2001),4,Drama,"TRT 1 -  ,",Derya Alabora - Zuhal Gencer - Fikret Kuşkan - Füsun Demirel - Dilaver Uyanık - Suzan Aksoy - Mahperi Mertoğlu - Aysun Metiner - Hakan Tanfer,1996
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,Dram,atv,Türkân Şoray - Can Gürzap - Faruk Peker,1994
Utanmaz Adam,Koliba Film,Tunca Yönder,1,Komedi,atv,Okan Bayülgen - Zafer Algöz - Bennu Yıldırımlar - Settar Tanrıöğen,1998
Ayşecik,Koliba Film,Ayhan Önal - Gürsel Ateş,2,Drama,Show TV,Ecem Kanun,1997
Deli Yürek,Sinegraf,Osman Sınav,4,Aksiyon - Dram - Politik,Show TV -   - atv,Kenan İmirzalıoğlu - Zeynep Tokuş - Melda Bekcan - Demir Karahan - Kürşat Alnıaçık - Ali Sürmeli - Selçuk Yöntem,1998
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil - Ümit Volkan,2,Komedi,Star TV -   - HBB,Nezih Tuncay - Orçun Sonat - Yasemin Koşat - Ali Yalaz - Hadi Çaman - Halit Akçatepe - Gönül Tuncay - Ayşegül Uygurer,1991
Bizim Evin Halleri,TRT Focus Film,Tülay Eratalay - Tarık Alpagut - Cafer Özgül - [1],10,Aile - Komedi - Duygusal - Dram,TRT 1 -   - Kanal 1 -   - atv,Beyhan Saran - Meral Niron - Emel Göksu - Ayşe Nil Şamlıoğlu - Şahap Sayılgan - Nusret Çetinel - Pervin Ünalp - Burak Demir - Murat Demir - Ozan Şenozan - Berfu Öngören - Hülya Gülşen Irmak - Dilara Yalçın,2000
Sırılsıklam,Ulus Production,Temel Gürsu,2,Drama - Macera,Show TV,İbrahim Erkal - Melis Yamalıoğlu - Süleyman Turan - Engin Koç - Canan Perver - Deniz Eroğlu - Yosi Mizrahi - Eşref Kolçak - Kuzey Vargın - Engin Günay - Şener Gezgen - Burçin Terzioğlu,1998
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
İkinci Bahar,Erler Film Most Production,Uğur Yücel - Orhan Oğuz - Türkan Derya,3,Dram,atv,Türkan Şoray - Şener Şen - Tarık Papuççuoğlu - Güven Hokna - Nedim Saban - Özkan Uğur - Nurgül Yeşilçay - Ozan Güven,1998
Süper Baba,Kare Ajans,Osman Sınav - Tunca Yönder - Orhan Oğuz - Kartal Tibet - Feyzi Tuna,4,Dram,atv,Şevket Altuğ - Jülide Kural - Seray Gözler - Sümer Tilmaç - İsmet Ay - Şevval Sam - Bennu Yıldırımlar,1993
Küçük Besleme,"Yeni Yapımlar Yönder Ltd,Şti",Tunca Yönder,3,Dram,Star TV,Tomris Oğuzalp - Nur Kulakoğlu - Esmeray - Gökhan Eğilmezbaş - Kuzey Vargın,1999
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Vay Anam Vay,D Productions,Erdoğan Engin,1,Komedi,Kanal D,Nevra Serezli - Atilla Olgaç - Sıdıka Şenkan - Ayhan Kavas - Gülen Karaman - Hakan Vanlı - Burçak Işımer - Metin Zakoğlu - Saydam Yeniay - Melike Güner - Alev Cınbarcı - Rüyam Olunçay - Parkan Özturan - Kaya Gürel - Ezgim Kılınç - Mustafa Uzunyılmaz - Nesrin İşçi - Nihal Menzil -,2000
Kurtuluş,TRT,Ziya Öztan,1,Tarihî,TRT 1,Rutkay Aziz - Mahmut Cevher - Savaş Dinçel - Altan Erkekli - Ayda Aksel - Macide Tanır,1994
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner - Ümit Efekan - Mehmet Bozkuş - Erdoğan Tokatlı,7,Aile - Komedi,atv -   - TRT 1,Erol Günaydın - Eşref Kolçak - Ümit Yesin - Bekir Aksoy - Cengiz Küçükayvaz -,1995
Gözlerinde Son Gece,Gold Film,Faruk Turgut,1,Drama,Star TV,Türkan Şoray - Rutkay Aziz - Kaan Girgin - Selen Yıldız - Levent Özdilek - Atilla Olgaç - Bülent Bilgiç,1996
Küçük İbo,Sedine Prodüksiyon,Hüseyin Karakaş - Zeynep Tor,4,Dram - Gerilim,Show TV,"İbrahim Küçük -  (İbo), - Bülent Bilgiç -  (Hasan), - Yasemin Koşal -  (Aysel), - Levent Üzümcü -  (Raşit), - Nazan Ersan -  (Cemile), - Selen Güzel -  (Mine), - Ceyda Ateş -  (Elmas), - Canan Kılıç -  (Ayşe), - Günyol Bakoğlu -  (Mehmet), - Nurhan Yılma -  (Menekşe), - Şinasi Yurtsever -  (Selçuk) - Canan Akgül -  (Hatice) - Merve Erdoğan -  ()",1997
Baba Evi,Muhteşem Film,Yusuf Kurçenli - Orhan Oğuz - Mahinur Ergun - Feyzi Tuna - Erden Kıral,4,Dram,atv,Halil Ergün - Deniz Gökçer - Sevinç Erbulak - Ayşegül Ünsal - Altan Karındaş - İsmet Ay - İhsan Devrim,1997
Kara Melek,Eylül TV,Uğur Erkır -  (1. sezon) - Dilek Gökçin - Türkan Derya,4,Macera - Dram,Star TV,Sanem Çelik - Ece Uslu - Mustafa Alabora - Toprak Sergen - Ziya Kürküt - Zehra Alptürk - Aliye Uzunatağan - Sevtap Çapan - Memet Ali Alabora - Şenay Gürler - Ebru Akel - Yağmur Kaşifoğlu -  ve  - Zerrin Arbaş,1997
Karışık İş,Ay Yapım,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Füsun Önal - İsmail İncekara - Saltuk Kaplangı - Gazanfer Ündüz - Fulya Özcan - Çiçek Dilligil - Göksel Kortay,1991
Fırıldak Nuri,Gold Film,Aydın Bağardı,1,Komedi,Star TV,Mehmet Ali Erbil - Hamdi Alkan - Baykal Kent,1995
Eyvah Babam,Doku Film,Ünal Küpeli -  (1–39)  -  Cemal Kavrar (35–39),2,Komedi,Kanal D,Haluk Bilginer - Osman Cavcı - Savaş Ay - Uğur Kıvılcım - Umut Sezgin - Açelya Elmas,1998
Yedi Numara,TRT,Haluk Bener - Sadullah Celen,3,Gençlik - Komedi,TRT 1,Şebnem Sönmez - Engin Alkan - Tuba Erdem - Okan Selvi - Ayça Mutlugil - Nuray Uslu - Gülden Güney - Volkan Girgin,2000
Zapping Ailesi,Vipsaş,Naci Çelik,1,Aile - Komedi,Kanal D,Selma Güneri - Saadettin Erbil - Tuna Arman - Tuncay Özinel - Engin Tezel - Aytek Yılmaz,1993
Yazlıkçılar,Bugay Yapım,Yalçın Yelence,6,Aile - Komedi - Macera - Duygusal,TRT 1 -    - Star TV,Engin Şenkan - Ayşe Kökçü - Ercan Yazgan - Sıdıka Şenkan - Güzin Özipek,1993
Savcı,Par Productions,Kadir İnanır,1,Politik - Macera,Star TV,Kadir İnanır - Ani İpekkaya - Aylin Arasıl - Diler Saraç - Gökhan Mete - Mustafa Alabora - İsmet Ay,1992
Kimse Durduramaz,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Rıza Pekkutsal - Göksel Kortay - Gazanfer Ündüz - Fulya Özcan - Saltuk Kaplangı - Zihni Küçümen - Selahattin Taşdöğen,1991
Kahraman Damat,Star 1,Uğur Erkır,1,Komedi,Star TV,Gazanfer Özcan - Gönül Ülkü - Halit Akçatepe - Tolga Aşkıner - Nilgün Belgün - Toygun Ateş - Rıza Pekkutsal,1992
Gurbetçiler,ATV,Yücel Uçanoğlu - Umut Gelgör - Metin Günay,4,Aile - Komedi - Duygusal,atv -    - Kanal 6,Uğur Uludağ - Ahu Türkpençe - Aykut Oray - Berke Üzrek - Yıldırım Öcek,1996
Örümcek,Sedine Prodüksiyon,Zeynep Tor,4,Dram - Gerilim,Show TV,Nilüfer Kurt - İpek Tenolcay - Betül Arım - Asuman Dabak - Aykut Sözeri,1997
Yasemince,Erler Film, Mustafa Şevki Doğan - Kartal Tibet,12,Komedi,Show TV -   - atv -   - Kanal D -   - Star TV -   - FOX -   - Kanal 7 -   -  - Kanaltürk,Yasemin Yalçın - İlyas İlbey,1993
Üvey Baba,Yeni Yapımlar Yönder TV & Film Ltd.,Tunca Yönder,6,Dram,"Star TV -  ,   - Teleon -   - Flash TV",Şemsi İnkaya - Betül Aşçıoğlu - Burçin Abdullah - Seda Çetin - Tunca Yönder,1998
Fırtınalar,Doku Film,Ünal Küpeli,2,Dram - Aile,Star TV,Ebru Gündeş - Kerem Alışık,1996
Laf Lafı Açıyor,Medyapım,Cem Özer,3,Komedi - Talkshow,Kanal D,Cem Özer - Müjdat Gezen - Cenk Koray,1991
Ben Olsaydım,STR Film,Uğur Erkır,1,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Hadi Çaman - Saltuk Kaplangı - Doğu Erkan - Cengiz Keskinkılıç - Osman Gidişoğlu - Erdoğan Dikmen - Aliye Tölak,1991
Aysarının Zilleri,TRT,Şahin Gök,1,Dram,TRT 1,Yalçın Dümer Engin İnal Levent İnanır,1992
"Dedem, Gofret ve Ben",Yağmur Ajans,Zeki Alasya,1,Komedi - Aile,TRT 1,Zeki Alasya - Selma Güneri - İclal Aydın - Hazım Körmükçü - Nejat İşler - Barış Küçükgüler - Halit Ergenç,2001
Bizim Ev,Altınkesit,İsmail Güneş,3,Aile - Duygusal - Macera,TGRT,Cüneyt Arkın,1996
Dadı,Medyapım,Fatih Aksoy - Ebru Yalçın - Yonca Güzelpınar,3,Komedi - Sit-com,Show TV -    - Star TV,Gülben Ergen - Kenan Işık - Haldun Dormen - Seray Sever - Sinem Kobal - İlkay Saran - Yaşar Abravaya - Gökçe Uzuner - Tanju Tuncel - Ercan Süt - Alp Emre Kököz - Altuğ Yücel,2001
Kızlar Yurdu,Arajans,Kartal Tibet - (1-19) - Taner Akvardar - (20-26),1,Aile - Komedi,Teleon,Perran Kutman - Alev Emre - Ali Berge - Özdemir Han - Ali Karagöz - Anıl Dalgıç,1992
Zirvedekiler,Erler Film,Halit Refiğ,1,Drama,Show TV,Cüneyt Arkın - Gülşen Bubikoğlu,1995
Tatlı Kaçıklar,Erler Film,Aram Gülyüz,5,Durum komedisi,atv,Mehmet Ali Erbil - Yalçın Menteş - Buket Dereoğlu - Neslihan Yeldan - Pelin Körmükçü - İsmet Ay - Erol Günaydın - Meltem Cumbul - Kayhan Yıldızoğlu - Ümit Okur - Dursun Ali Sarıoğlu - Yıldız Kaplan,1996
Sevginin Gücü,Erler Film,Ümit Efekan,1,Dram,Show TV,Hülya Avşar - Tarık Tarcan - Tolga Savacı - Maide Erçelebi - Bülent Bilgiç,1994
Geçmiş Bahar Mimozaları,TRT,Okan Uysaler,1,Dram - Psikolojik,TRT 1,Filiz Akın - Rutkay Aziz - Ceylan Palay - Müşfik Kenter - Güler Ökten - Nurseli İdiz - Musa Uzunlar,1989
Gençler,TRT,Adem Kılıç,1,Duygusal - Gençlik - Komedi,TRT 1,Ziya Kürküt - Fikret Kuşkan - Oktay Kaynarca - Bilge Parlak - Melike Altunbaran - Zeynep Özden Ayyıldız - Çetin Etili,1989
Aynalı Tahir,Base Productions,Erhan Baytimur  -  Cankat Ergin  - Hilal Saral -  Abdülkadir Ceylan Ede,5,Dram,Star TV -    - Flash TV -   - [6],Alişan - Arif Kilisli - Erkan Petekkaya - Bulut Aras - Saruhan Hünel - Kayra Şenocak - Yeşim Büber - Arkın Gelenbe - Emine Ün - Nihan Özcan - [1],1998
155 Polis İmdat,Emek Film,Şahin Gök,2,Polisiye - Aksiyon - Dram - Komedi,Show TV -    - Kanal D,Necla Nazır - Bülent Bilgiç - Murat Soydan - Yusuf Sezgin,1994
Tatlı Hayat,Medyapım,Bora Tekay,3,Komedi - Sit-com,Show TV,Türkan Şoray - Haluk Bilginer - Asuman Dabak - Çolpan İlhan - Neco - Celal Kadri Kınoğlu - Gamze Özçelik - Emre Altuğ - Veysel Diker - Sevinç Aktansel - Sedat Kalkavan - Levent Sülün,2001
Böyle mi Olacaktı,Erler Film,Ümit Efekan - Temel Gürsu - Şahin Gök,6,Dram - Aile - Gençlik,atv,Açelya Akkoyun - Berna Laçin - Hande Ataizi,1997
Taşların Sırrı,Star 1,Yusuf Kurçenli,1,Gizem kurgu - Fantezi - Macera,Star TV,Tarık Akan - Ayşegül Aldinç - Merih Akalın - Tuncer Necmioğlu - Bilge Zobu - Ali Çoban - Coşkun Göğen - Menderes Samancılar,1992
Canısı,Gold Film,Temel Gürsu,1,Dram - Macera,Show TV,İbrahim Erkal - Emine Ün - Yusuf Çetin - Sevtap Parman - Tanju Gürsu - Sedef Bildik - Canan Perver - Kuzey Vargın - Nur Subaşı - Murat Soydan - Engin Koç,1997
Kanun Savaşçıları,TRT,Emin Gerçeker,1,Aksiyon - Macera - Polisiye,TRT 1,Serdar Gökhan - Eşref Kolçak - Özlem Savaş - Yusuf Sezgin - Savaş Akova - Orsel Sonat - Sermin Karaali - Perin Karaali - Tanju Şarman,1989
Sıcak Saatler,Sinegraf  (1-17) Detay Film,Osman Sınav -  (1-13) - Mustafa Şevki Doğan -  (14-28) - Sadullah Celen -  (29-30) - Veli Çelik -  (30-67)  - Mehmet Aslantuğ -  (67-80),3,Dram - Duygusal - Macera - Polisiye,atv,Mehmet Aslantuğ - Arzum Onan - Nihat Nikerel - Kenan Işık - Aytaç Yörükaslan - Sevda Ferdağ,1997
Gül ve Diken,Kemal Film,Osman F. Seden,1,Romantik - Duygusal,Star TV,Aydan Şener - Murat Parasayar - Müge Arda - Tomris Oğuzalp - Ozan Bilen,1994
Boşgezen ve Kalfası,Ortaoyuncular,Ferhan Şensoy,1,Komedi,Flash TV,Ferhan Şensoy - Suna Pekuysal - Derya Baykal - Rasim Öztekin - Tarık Pabuçcuoğlu - Levent Ünsal - Settar Tanrıöğen - Şükran Dedeman - Pınar Alsan,1995
Mahallenin Muhtarları,Replik Yapım,Oğuz Yalçın - Filiz Kaynak - Avni Kütükoğlu - Nursan Esenboğa,10,Aile,Kanal 6 -   - atv -   - Kanal D -   - Star TV,Aydan Burhan - Erkan Can - Cihat Tamer - Işık Aras - Goncagül Sunar - Esra Akkaya - Nedret Özbek - Leman Çıdamlı - Filiz Taçbaş,1992
Saygılar Bizden,Bugay Yapım,Zeki Ökten,1,Dram - Komedi - Politika,InterSTAR,Kemal Sunal - Jülide Kural - Selma Tarcan - Yaman Tarcan - Nur Gürkan - Alev Oraloğlu - Tuncer Necmioğlu - Zafer Algöz - Yaman Okay - Güler Ökten - Ozan Bilen - Orhan Çağman - Kutay Köktürk - Erdinç Dinçer,1992
Gerçek Kesit,Flash TV,Erbay Gül,13,Gerilim - Aksiyon - Dram - Absürt komedi,Flash TV,Cahit Kaşıkçılar - Cevat Dinçer - Mehmet Vanlıoğlu,1993
Marziye,Yağmur Ajans,Taner Akvardar - Melih Gülgen - Erdoğan Tokatlı - Avni Kütükoğlu,2,Dram,TGRT,Kadir İnanır - Gülben Ergen,1998
Bizim Mahalle,TRT,Ülkü Erakalın - Tulip Karamanbey - Temel Gürsu - Tangör Toydemir - Ayhan Önal,8,Aile - Komedi - Macera,TRT 1,Neslihan Acar - Osman Yağmurdereli - Üstün Asutay - Neriman Köksal - Nilgün Belgün - Meltem Ören - İlhan Daner,1994
Bir Filiz Vardı,TRT,Feyzi Tuna,1,Duygusal - Aile - Komedi,TRT 1,Özgü Namal - Müge Oruçkaptan - Nihan Durukan - Menderes Samancılar - Nükhet Egeli - Savaş Akova - Özlem Saraç - Alper Yakıcı,2001
Eşref Saati,Pana Film,Ümit Volkan,2,Komedi,Kanal D,Tuluğ Çizgen - Cihat Tamer - Suna Yıldızoğlu - Suat Sungur - Arzu Atalay - Hadi Çaman,1993
