Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Sırlar Dünyası,Samanyolu TV,Taner Tunç - Avni Kütükoğlu - Şenol Sönmez,5,Dram,Samanyolu TV,Aslıhan Güner - Orhan Bıyıklı - Ozan Çobanoğlu,2004
Sokak Şarkıcıları,Yeni Stüdyo,Nazmi Özer,1,Macera - Komedi - Drama,TRT,Ali Poyrazoğlu - Oya Başar - Aysun Güven - Özcan Özgür - Gülşen Gürsoy - İlhan Daner - Alpay İzer,1974
Pars: Narkoterör,Sinegraf,Metin Günay,1,Aksiyon - Politik - Dram - Macera,Show TV,İbrahim Çelikkol - Seda Bakan,2008
Süper Babaanne,TRT Avşar Film,Serkan Kızıldağ - Temel Gürsu,1,Fantastik - Aile - Komedi,TRT 1,Murat Kubilay - Asuman Dabak - Mustafa Uzunyılmaz - Ceren Soylu - Yılmaz Köksal - Zuhal Yalçın - Nedret Özbek,2008
Bizimkiler,Ar Ajans,Yalçın Yelence -  (454 bölüm)  - Erkavim Yıldırım -  (5 bölüm),15,Aile,TRT 1 -   - Star TV -   - Show TV,Erdal Özyağcılar - Ayşe Kökçü - Atılay Uluışık - Ercan Yazgan - Mehmet Akan - Savaş Dinçel - Oktay Sözbir,1989
Mirasyediler,Kemal Film,Rabahat Baltacı,1,Komedi - Aile,Show TV,Göksel Arsoy - Açelya Akkoyun - Yalçın Dümer - Tarık Tarcan - Kerim Tekin - Murat Parasayar - İpek Tuzcuoğlu - Ceyda Düvenci,1996
Kırık Ayna,Gold Film,Şerif Gören -,1,Dram - Aksiyon,Kanal D,Kadir İnanır - Yeşim Büber - Selma Güneri - Burak Hakkı - Mine Çayıroğlu - Sinem Güven - Bülent Kayabaş -,2002
Eyvah Halam,D Productions,Kemal Uzun,1,Komedi - Aile,Star TV,Rasim Öztekin - Ertuğrul Şakar - Ece Çeşmioğlu - Zeynep Özkaya - Doğaç Yıldız - Akçahan Akça - Defne Yalnız - Sait Genay - Oğuz Oktay,2008
Şöhret,Gold Film,Bahadır İnce,2,Dram,atv,Ahu Türkpençe - Atilla Saral - Murat Ünalmış - Nurseli İdiz - Şebnem Dilligil - Türkan Kılıç - Onur Bayraktar - Burak Altay - Oya Okar - Bengi Öztürk - Kevork Türker - Ebru Gediz - Selma Ergeç - Yalçın Dümer,2005
Çapkın,Süreç Film,Bora Onur,1,Komedi - Romantik,Show TV,Okan Yalabık - Özlem Conker - Ahmet Mümtaz Taylan - Nergis Kumbasar - Suna Pekuysal - Bartu Küçükçağlayan - Melis Birkan - Nergis Kumbasar - Nilüfer Silsüpür - Burçin Üçüncüoğlu - Volga Sorgu - Zuhal Yalçın - Aslı Orcan - Süheyla Gözde Soley - Mustafa Uzunyılmaz - Seval İşgören - Güngör Varlı - Hasan Mullaoğlu,2005
Fesupanallah,Pana Film,Zübeyr Şaşmaz,1,Komedi - Dram,atv,Şafak Sezer - Kadir Çöpdemir - Hasan Kaçan - Cem Davran - Erdal Tosun - Şebnem Özinal - Hatice Şendil,2007
Yılan Hikâyesi,Yağmur Ajans,Nihat Durak,3,Dram - Komedi - Polisiye,Kanal D,Meltem Cumbul - Memet Ali Alabora,1999
Yol Arkadaşım,Sis Yapım,Irmak Çığ,2,Dram - Komedi - Romantik,Kanal D -    - Star TV,Özge Özberk - Polat Bilgin - Sinan Tuzcu - Tanju Tuncel - Ayşe Tunaboylu - Goncagül Sunar,2008
Kurtlar Vadisi Pusu,Pana Film,"Sadullah Şentürk -  (1-51, 71-93)  - Zeynep Günay -  (52-57, 59-62)  - Zübeyr Şaşmaz -  (58, 63-70)  - Ali Can Gebeş -  (94-99, 162-171)  -  Selahattin Sancaklı (100-128)  - Onur Tan -  (129-161, 172-229)  -  Doğan Ümit Karaca (230-300)",10,Aksiyon - Dram - Politik,Show TV -    - Star TV -    - TNT -    - atv -    - Kanal D -   -  - Tekrar yayınları - Beyaz TV -   - TürkHaberTV -   - 360 TV -   - tv2,Necati Şaşmaz - Cahit Kayaoğlu - Erhan Ufak - Ertuğrul Şakar - Gaye Gürsel - Defne Samyeli - Eski başroller - Gürkan Uygun - Kenan Çoban - Musa Uzunlar - Hakan Boyav - Ertan Saban - Görkem Sevindik - Çiğdem Batur - Ali Sürmeli - Mustafa Üstündağ - Burak Sevinç - Hüseyin Avni Danyal,2007
Hayal ve Gerçek,Süreç Film,Gürcan Mete Şener,1,Komedi - Fantastik - Romantik,atv,Yasemin Hadivent - Cem Kılıç - Zuhal Yalçın,2007
Küçük Hanımefendi,AT Yapım,Serpil Kurtça - Özer Kızıltan,2,Dram,TRT 1,Cansu Tosun - Barış Bağcı - Derya Alabora - Beyazıt Gülercan - Arsen Gürzap - Rıza Sönmez - Barış Hayta - Gamze Yarka - Zeynep Irgat - Ece Özdikici - Gamze Ozan - Gizem Akbal - Taner Ertürkler - Görkem Yeltan - Edip Saner - Yeliz Akkaya - Kazım Akşar - Serena Yapaöz - Arda Canikoğlu - Barış Arduç,2011
Uğurlugiller,STR,Gürol Gökçe - Uğur Erkır - Aram Gülyüz,4,Durum komedisi,TRT 1,Yıldız Kenter - Şükran Güngör - Tevfik Gelenbe - Gül Onat - Mehmet Birkiye - Mübeccel Vardar - Ayhan Kavas - Mustafa Alabora - Savaş Dinçel,1988
Şaban Askerde,Kanat Film,Orhan Oğuz,1,Komedi,Star TV,Kemal Sunal - Halit Akçatepe - Özlem Savaş - Canan Öztürk - Yaman Tarcan - Hüseyin Köroğlu - Nihat Nikerel - Dinçer Çekmez,1993
Yalancı Yarim,MF Yapım,Özer Kızıltan - Şengül Halat Atak,1,Aşk - Romantik - Komedi,Star TV,Barış Akarsu - Merve Sevi - Bülent Kayabaş - Ayşe Kökçü,2006
Kahve Bahane,Altıoklar Film,Mustafa Altıoklar - Müge Turalı - Ayşin Akbulut - Ali Ercivan,1,Komedi - Sitcom,Türkmax - [1],Melike Öcalan - Gülden Güney - Cenk Tunalı,2009
Serseri,Yağmur Ajans,Cem Akyoldaş,2,Romantik - Drama - Komedi,Kanal D,Gamze Özçelik - Okan Yalabık - Erkan Petekkaya - Cüneyt Arkın,2003
Mert ile Gert,Plato Film,Hakan Algün,1,Komedi,TRT 1,Emre Altuğ - Ragga Oktay - Begüm Birgören - Ayşen Gruda - Zihni Göktay - Aşkın Şenol - Işılay Gül - Eylem Yıldız - Serkan Keskin,2008
Sıla,Fm Yapım Most Production,Yasin Uslu - Gül Oğuz,3,Dram - Aksiyon,atv,Cansu Dere - Mehmet Akif Alakurt - Zeynep Eronat - Menderes Samancılar - Devrim Saltoğlu - Fatoş Tez - Fatoş Sezer - Muhammed Cangören - Cemal Toktaş - Boncuk Yılmaz - Gökçe Yanardağ -,2006
Hüsnü Bey Amca,TRT,Ülkü Erakalın,3,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Tarık Ündüz,1994
Canım Ailem,TMC Film,Sadullah Celen,2,Aile - Komedi,atv,Uğur Yücel - Ozan Güven - Şebnem Bozoklu - Funda Eryiğit - Ezgi Mola - İlker Aksum - Oktay Gürsoy - Sezgi Mengi - Deniz Denker - Alpay Şayhan - Ayçe Abana - Bengi Öztürk - Hikmet Körmükçü - Candan Sabuncu - Nejat Birecik - Haldun Boysan - Onur Ünsal - Begüm Kütük Yaşaroğlu - Şeyda Şaşmaz,2008
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),Tülay Eratalay - Murat Karahüseyinoğlu - Gülsen U. Erişdi - Altan Yücel - [1],7,Dram,TRT 1 -    - Star TV,Beyhan Saran - Baykal Saran - Güven Hokna - Melek Baykal - Hatice Aslan - Şahap Sayılgan - İpek Çeken - Tamer Karadağlı,1993
Hepsi 1,Süreç Film,Kartal Çidamlı -  (1-48) - Yonca Güzelpınar -  (49-51),2,Duygusal - Komedi,Show TV -   - atv,Cemre Kemer - Eren Bakıcı - Gülçin Ergül - Yasemin Yürük,2007
Fırtına,BKM,Metin Balekoğlu,1,Komedi - Aile,Kanal D,Burçin Terzioğlu - Murat Yıldırım - Zerrin Sümer - Jale Aylanç - Salih Kalyon - Münir Canar - Erkan Can - Ayşen Gruda - Orhan Eşkin - Ömür Arpacı - Deniz Erözen - Cezmi Baskın - Nihan Büyükağaç - Türkü Hazer - Emirşah Bora - Fırat Can Aydın,2006
Esir Şehrin İnsanları,TRT,Cafer Özgül,1,Dram - Tarihî,TRT 1,Emre Kınay - Zeynep Tokuş - Fikret Kuşkan - Başak Köklükaya - Seray Sever - Zafer Algöz - Ali Sirmen,2003
Eyvah Kızım Büyüdü,ANS,Orhan Cesur - Filiz Kaynak - Bülent Özdural,2,Komedi,Kanal D,Haluk Bilginer - Yıldız Asyalı - Alp Öyken - Uğur Kıvılcım - Savaş Ay,2000
Yaprak Dökümü,Ay Yapım,Mesude Erarslan,5,Aile - Drama,Kanal D,Halil Ergün - Güven Hokna - Bennu Yıldırımlar - Deniz Çakır - Tolga Karel - Caner Kurtaran - Hasan Küçükçetin - Gökçe Bahadır - Fahriye Evcen - Bedia Ener - Seda Demir,2006
Kod Adı,Serap Yapım,Tevfik Şenol,1,Polisiye,Kanal D,Gerçek Sağlar - Özgür Özberk - Korel Cezayirli - Onur Saylak - Nuri Gökaşan,2006
Mahşer-Nabucco'nun Zehri,Doludizgin Creative Films,Koray Demir,1,Aksiyon,atv,Mahir Günşiray - İpek Tuzcuoğlu - Ahmet Uz - İstemi Betil - Ali Başar - Nesligül Deniz Çaltıl -,2007
Bir Çocuk Sevdim,TMC,Cevdet Mercan - Murat Düzgünoğlu,1,Dram - Aile,Kanal D -     - Star TV,Bülent İnal - Çetin Tekindor - Hakan Kurtaş - Gülcan Arslan,2011
Yalancı Romantik,Mint Prodüksiyon,Birkan Uz,2,Komedi - Aile,Kanal 1 -    - FOX,Hakan Yılmaz - Ebru Cündübeyoğlu - Necmi Yapıcı - Asuman Dabak - Melih Ekener - Zerrin Sümer - Yalçın Menteş - Umut Oğuz,2008
Makber,Pana Film,Kemal Uzun,1,Dram - Aşk,Star TV,Seda Bakan - Devrim Nas - Gamze Karaman - Murat Başoğlu - Gaye Gürsel - Soydan Soydaş,2009
Haziran Gecesi,Gold Film,Andaç Haznedaroğlu,2,Dram,Kanal D,Özcan Deniz - Naz Elmas - Nebahat Çehre - Demir Karahan,2004
Eltiler,Renk Yapım,Mahinur Ergun - Uğur Erkır - Serpil Kurtça - Erdoğan Ergözen,2,"Komedi - ,  - Duygusal - ,  - Aile",TGRT,Sevinç Aktansel - Engin Şenkan - Betül Arım - Ayşen İnci,1998
Hırsız Polis,TMC Film,Türkan Derya Güven,2,Polisiye,Kanal D,Uğur Yücel - Timuçin Esen - Özlem Düvencioğlu - Murat Daltaban - Erol Günaydın - Ozan Güven - Rasim Öztekin - Dağhan Külegeç - Hakan Boyav - Yasemin Çonka - Vahide Perçin - Ahmet Saraçoğlu - İpek Bilgin,2005
Kader Ayırsa Bile,Star TV,Tunca Yönder,1,Dram,Star TV,Esra Ronabar - Serkan Üstüner - Suna Dizdar - Erdoğan Kapısız - Ulvi Alacakaptan - Sühan Karaduman - Betül Kızılok Bavli - Fırat Çöloğlu,2002
Kaynanalar,TRT,Tekin Akmansoy - Arzu Akmansoy,14,Sitcom,"TRT -  , ,  - Kanal D",Tekin Akmansoy - Leman Çıdamlı - Defne Yalnız - Sevda Aydan - Ege Aydan - Münir Caner - Sermin Hürmeriç - Sezai Aydın,1974
Bizim Kuruntu Ailesi,TGRT,Bülent Özdural,2,Sitcom,TGRT,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Doğan Aybay - Şemsay Çankara - Saltuk Kaplangı - Tomris Oğuzalp - Aliye Tölak - Tarık Ündüz - Engin Gürmen - Ferdi Atuner - Şensel Uykal - Reyhan Ayyüzlü,1997
Kaygısızlar,3 Nokta Film,Oğuz Yalçın - Ayhan Önal - Cankat Ergin - Samim Değer - Temel Gürsu - Uğur Erkır,4,Komedi,"Kanal D -  ,  - Star TV -   - Kanal 6",Ercan Yazgan - Halit Akçatepe - Ayşen Gruda - Gülçin Hatıhan - Çiçek Dilligil - Yılmaz Köksal - Sibel Seyhan - Şoray Uzun - Damla Özen - Yalçın Avşar - Ülkü Duru,1994
Fedai,D Productions,Güzide Balcı,1,Drama,Star TV,Seda Sayan - Tamer Karadağlı - Metin Belgin - Güliz Gençoğlu - İpek Tanrıyar - Enginay Gültekin - Mutlu Güney - Atilla Yiğit - Ergül Coşkun - Selen Uçer - Kaan Olcay - Şeyda Şaşmaz,2007
Şeytan Ayrıntıda Gizlidir,Renkli Türkçe Film Yapım,Cevdet Mercan,1,Polisiye,TRT 1,Çetin Tekindor - Nejat İşler - İrem Altuğ - Meral Çetinkaya - Fırat Tanış - Ali Sürmeli - Ümit Acar - Engin Cezzar - Erol Keskin - Fatih Koyunoğlu - Levend Yılmaz - Gazanfer Ündüz - Mete Horozoğlu - Aytekin Özen - Mert Turak - Ayşen İnci - Erkan Kolçak Köstendil - Hasan Küçükçetin - Fulya Ündüz - İnan Ulaş Torun - Umut Sinem Tuncer - Ayhan Taş - Halil İbrahim Aras - İhsan Devrim - Ayhan Eroğlu,2004
Yalan Dünya,D Productions,Jale Atabey Özberk,4,Komedi - Sit-com,Kanal D -    - teve2,Altan Erkekli - Füsun Demirel - Olgun Şimşek - Beyazıt Öztürk - Gülse Birsel - Hasibe Eren - Sarp Apak - Öner Erkan,2012
Tövbeler Tövbesi,Limon Film,Aydın Bulut - Seben Delice,1,Dram - Romantik - Komedi,atv,Tuba Ünsal - Cemal Toktaş - Fulya Zenginer - Keremcem - Füsun Demirel - Rıza Akın - Cihat Tamer - Pınar Dikici,2011
Doludizgin Yıllar,Sinegraf,Osman Sınav -  - Raşit Çelikezer,2,Dram,atv -    - TRT 1,Yusuf Ömer Sınav - Selen Seyven - Arda Kural - Erdal Cindoruk - Damla Debre - Ayşegül İşsever - Mehmet Polat - Suat Güzey - Yılmaz Calayır - Deniz Özpınar - Yağız Bankoğlu - Hüseyin Soysalan,2008
Sultan Makamı,Avşar Film,Aydın Bulut,1,Dram,Kanal D,Şevket Çoruh - Başak Köklükaya - Uğur Polat - Dolunay Soysert - Kerem Atabeyoğlu - Suzan Elif Kılınç,2003
Sihirli Safiye,D Productions,Yavuz Figenli,1,Fantastik - Aile - Komedi,Kanal D,Seden Kızıltunç - Oğuz Oktay - Ayben Erman - Şerif Arslan - Fatoş Kara,1994
Yanık Koza,Limon Film,Murat Saraçoğlu - Özer Kızıltan - Mesude Erarslan,3,Dram - Genel,Show TV,Yavuz Bingöl - Başak Köklükaya - Çolpan İlhan - Ayça İnci - Mustafa Alabora - Burak Davutoğlu - Tuncer Necmioğlu - Serdar Özer - Başak Daşman - Kemal Okur - Barış Erdi - Perihan Savaş - Mete Horozoğlu - Sedef Avcı - Hande Kazanova - Saadet Gürses - Erdal Cindoruk - Ali Karagöz - Yavuz Karakaş,2005
Sıkı Dostlar,Fox TV,Birkan Uz,1,Komedi,Türkmax -    - FOX,Haluk Bilginer - Özkan Uğur - Seray Sever - Nez - Hasibe Eren - Ömür Arpacı - Ayşenur Yazıcı - Hakan Bilgin - Aydoğan Oflu - Özlem Türkad - Okan Tangücü,2009
Karadayı,Ay Yapım,Uluç Bayraktar - Cem Karcı,3,Aksiyon - Dram - Politik,atv,Kenan İmirzalıoğlu - Bergüzar Korel - Çetin Tekindor - Yurdaer Okur,2012
Hayatımın Rolü,Süreç Film,Sadullah Celen - Hakan Arslan,1,Aile - Dram - Komedi,Star TV,Haluk Bilginer - Ebru Özkan - Bekir Aksoy - Ebru Aykaç - İlhan Şeşen,2012
Beni Affet,Focus Film,Gürsel Ateş - Mihriban Şahin - Bergüzar Demiroğlu,8,Aile - Aşk - Dram,Show TV -   - Star TV -     - 2M TV - Fas,Nusret Şenay - Ulviye Karaca - Gaye Turgut Evin - Mert Altınışık - Şeyma Korkmaz - Murat Danacı - Ceren Yalazoğlu Karakoç - İlkay Kayku Atalay - Zeynep Yasa - Zeynep Aytek Metin - Okan Şenozan - Deniz Evin - Saim Karakale - Mithat Erdemli - Tolga Akman - Aleyna Eroğlu - Can Arpacı - Gökberk Yıldırım,2011
Nehir,Vizyon Film,Cevdet Mercan,1,Drama,Kanal D,Petek Dinçöz - İpek Tuzcuoğlu - Selma Güneri - Zeynep Eronat - Suna Selen - Mümtaz Sevinç - Irmak Ünal - Özgül Kavruk - Serpil Tamur - Cengiz Coşkun,2005
Beşinci Boyut,Eflatun Film,Hasan Kıraç,5,Dram - Dini,Samanyolu TV,Cengiz Toraman - Doğan Turan,2005
İki Arada Aşk,Mint Prodüksiyon,Sibel Kocataş,1,Komedi,TV8 -    - atv,Deniz Çakir - Halit Akçatepe - Volkan Ünal,2005
Cesaretin Var Mı Aşka,Limon Yapım,Ömer Uğur,1,Romantik komedi - Dram,Kanal D,Engin Altan Düzyatan - Özge Özpirinçci - Tarık Papuççuoğlu - Ufuk Özkan - İlker Ayrık,2008
Türkmen Düğünü,TRT,Adem Ayral,1,Duygusal,TRT 1,Yılmaz Zafer - Ece Pirim - Nilgün Bubikoğlu - Zerrin Çaldıran - Asuman Arsan - Nevin Aypar - Atilla Ergün,1989
Mavi Kelebekler,Sinevizyon,Metin Balekoğlu,1,Dram - Savaş,TRT 1,Alma Terzic - Burak Hakkı - Oya Okar - Yunus Emre Yıldırımer,2011
Benim İçin Ağlama,Yağmur Ajans,Ümit Efekan,1,Drama,TGRT,Fatma Girik - Bulut Aras - Yeşim Büber - Ebru Akel - Gökhan Tepe,2000
Türk'ün Uzayla İmtihanı,Süreç Film,Uğur Yağcıoğlu,1,Komedi - Bilimkurgu,Show TV,Ufuk Özkan - Peker Açıkalın - Sinan Çalışkanoğlu - Özge Ulusoy - Veysel Diker - Bala Atabek - Ayşe Melike Çerçi - Bülent Çolak - Yonca Oskay - Haki Biçici -,2012
İtilmiş ve Kakılmış,Sinegraf Tükenmezkalem Film,Osman Sınav - Mustafa Şevki Doğan - Orhan Oğuz - Kartal Tibet - Adnan Güler,4,Aksiyon - Polisiye - Suç - Gerilim - İstihbarat - Komedi - Dram,Star TV -  - Show TV,İlyas İlbey - Yasemin Yalçın,1997
Sır Gibi,FM Yapım,Şengül Halat,1,Aile - Dram - Aşk,Star TV,İsmet Üstekin - Kaya Erdaş - Tuğçe Ersoy - Murat Ünalmış - Ece Özdikici - Gülenay Kalkan - Ayşegül Uygurer - Aylin Kontente - Hikmet Karagöz - Burak Davutoğlu - Feyza Işık - Sezin Akbaşoğulları - Erdoğan Tutkun,2007
Avrupa Avrupa,Mia Yapım,Cevriye Demir,3,Sitcom,TRT 1,Tarık Ünlüoğlu - Selen Seyven - Burak Serdar Şanal - Bahar Süer - Zuhal Topal - Şehsuvar Aktaş - Kadir Çöpdemir - Günay Karacaoğlu - Ahmet Saraçoğlu - Durukan Çelikkaya,2011
Bıçak Sırtı,TMC,Selim Demirdelen,1,Drama,Kanal D,Nejat İşler - Melisa Sözen - Fikret Kuşkan - Vildan Atasever - Mehmet Günsür - Mahir Günşiray - Erkan Can - Batuhan Karacakaya,2007
Zalim,Böcek Yapım,Faruk Teber - Jale İncekol,1,Macera,Star TV,Mahsun Kırmızıgül - Ceyda Düvenci - Zafer Ergin - Nebahat Çehre - Ümit Okur - Şafak Sezer - Taner Ertürkler - Ali Emre Ateş - Levent Yılmaz - Cezmi Baskın - Damla Özen - Güner Özkul - Aliye Uzunatağan - Evren Alganatay,2003
Karakolda Ayna Var,TRT,Kudret Sabancı,1,Komedi,TRT 1,Müjde Ar - Erdal Özyağcılar - Perihan Savaş - Hasan Demircan - Suavi Eren - Alev Sururi - Avni Yalçın,2000
Aşkım Aşkım,Yağmur Ajans,Filiz Kaynak -  (2001-2002) - Nursan Esenboğa -  (2008),2,Komedi,Kanal D -   - Kanal 1,Emel Sayın - Mehmet Ali Erbil - Doğa Rutkay - Engin Günaydın - Günay Karacaoğlu - Ayumi Takano,2001
Gönülçelen,Tims Productions,Cevdet Mercan - Ahmet Katıksız,2,"Dram - ,  - komedi",atv,Tuba Büyüküstün - Cansel Elçin - Onur Saylak,2010
Kadın İsterse,Mint Ay Yapım İmaj TV  (teknik yapım),Bora Tekay,2,Dram - Komedi,Star TV -    - Show TV,Hülya Avşar - Cihan Ünal - Deniz Çakır - Zerrin Sümer - Derya Baykal - Kazım Akşar - Burçin Terzioğlu - Vildan Atasever - Oğuz Oktay - Cahit Kaşıkçılar - Elif Tayhan,2004
Sayın Bakanım,Medyapım,Fatih Aksoy - Fatmanur Sevinç,1,Komedi,atv,Ali Sunal - Haluk Bilginer - Haldun Dormen - Kenan Işık,2004
